Position	P(x)	G(x)
1	7.52048e-08	11.6012
2	4.136e-07	11.4138
3	1.78054e-06	11.0941
4	2.39744e-06	11.1228
5	2.578e-06	11.1464
6	2.43278e-06	11.167
7	2.87104e-06	11.1697
8	4.70359e-06	11.0139
9	5.55769e-06	11.0076
10	8.70139e-06	10.8308
11	1.02539e-05	10.8197
12	1.0872e-05	10.826
13	1.08234e-05	10.8265
14	1.00857e-05	10.8237
15	8.34111e-06	10.852
16	8.07041e-06	10.8451
17	7.10727e-06	10.8379
18	5.02586e-06	10.8971
19	4.55365e-06	10.8748
20	3.3788e-06	10.8567
21	9.70355e-07	11.2282
22	3.18331e-07	11.4042
23	1.81531e-07	11.3715
24	2.07833e-07	11.3837
25	1.15689e-07	11.2969
26	1.336e-07	11.3144
27	5.39383e-08	11.0694
28	4.34459e-08	10.9865
29	7.3935e-08	11.3104
30	2.40138e-07	11.3774
31	2.62249e-07	11.4098
32	1.58026e-07	11.4996
33	1.83376e-07	11.5006
34	9.27655e-08	11.572
35	1.09755e-07	11.5419
36	2.56392e-08	11.6484
37	1.74963e-08	11.6801
38	4.89237e-08	11.5756
39	9.50306e-09	11.8173
40	2.8938e-09	11.9569
41	7.8667e-09	11.8742
42	4.28121e-08	11.6043
43	9.72997e-09	11.8913
44	9.726e-09	11.8915
45	4.95203e-08	11.6494
46	1.55503e-08	11.9125
47	3.2035e-08	11.8792
48	1.74658e-07	11.6112
49	1.81547e-07	11.6545
50	3.89161e-07	11.5145
51	4.16603e-07	11.5235
52	2.83324e-07	11.6118
53	3.43546e-07	11.5769
54	2.54908e-07	11.6061
55	3.44067e-07	11.5167
56	2.90249e-07	11.4875
57	5.3461e-08	11.7847
58	9.0766e-09	11.9747
59	2.07705e-08	11.864
60	1.11654e-07	11.5805
61	1.00506e-07	11.6246
62	2.019e-07	11.4744
63	1.85464e-07	11.4579
64	3.85108e-08	11.7483
65	9.17827e-09	11.8265
66	1.5434e-08	11.8016
67	7.51371e-08	11.623
68	4.99786e-08	11.7178
69	9.67898e-08	11.621
70	5.3481e-08	11.6904
71	8.38514e-08	11.6027
72	2.76816e-08	11.6169
73	3.12755e-08	11.5969
74	1.06416e-07	11.5585
75	4.43994e-07	11.3099
76	5.46427e-07	11.3249
77	4.81674e-07	11.341
78	2.25229e-07	11.5604
79	1.85658e-07	11.5953
80	3.21972e-07	11.5592
81	9.46549e-07	11.3
82	1.18587e-06	11.3106
83	1.17162e-06	11.3246
84	9.07302e-07	11.375
85	9.8508e-07	11.3751
86	8.398e-07	11.3842
87	4.01819e-07	11.6027
88	3.32638e-07	11.636
89	5.12153e-07	11.578
90	4.98465e-07	11.5852
91	7.97627e-07	11.4793
92	8.54434e-07	11.474
93	6.91203e-07	11.4922
94	8.30945e-07	11.4534
95	7.62085e-07	11.4407
96	9.97815e-07	11.3569
97	1.00855e-06	11.3303
98	7.79154e-07	11.3025
99	1.76219e-07	11.6055
100	3.75335e-08	11.756
101	1.73859e-08	11.7271
102	1.8337e-08	11.6765
103	3.23969e-08	11.545
104	9.96045e-08	11.3383
105	7.97929e-08	11.2353
106	1.2845e-07	11.1221
107	8.73516e-08	10.8112
108	1.08012e-07	10.6318
109	2.16197e-07	10.5789
110	6.03355e-07	10.5014
111	7.2762e-07	10.492
112	6.726e-07	10.3717
113	8.37141e-07	10.3938
114	8.13292e-07	10.2982
115	5.94448e-07	9.90094
116	5.85324e-07	9.76982
117	7.2817e-07	9.87707
118	7.18425e-07	9.76802
119	8.8067e-07	9.89006
120	1.50883e-06	10.1551
121	1.73524e-06	10.2235
122	1.71314e-06	10.1851
123	1.44995e-06	9.995
124	1.48827e-06	10.0026
125	1.93054e-06	10.2328
126	2.04989e-06	10.2817
127	2.7828e-06	10.4685
128	5.37939e-06	10.5355
129	6.63008e-06	10.5991
130	7.12411e-06	10.6334
131	7.1031e-06	10.6383
132	6.56906e-06	10.6189
133	5.29127e-06	10.5934
134	5.06963e-06	10.5767
135	5.54514e-06	10.6166
